"","Pair.Name","Ligand.ApprovedSymbol","Ligand.Name","Receptor.ApprovedSymbol","Receptor.Name","Classification"
"1","A2M_LRP1","A2M","alpha-2-macroglobulin","LRP1","low density lipoprotein receptor-related protein 1","other"
"2","AANAT_MTNR1A","AANAT","aralkylamine N-acetyltransferase","MTNR1A","melatonin receptor 1A","other"
"3","AANAT_MTNR1B","AANAT","aralkylamine N-acetyltransferase","MTNR1B","melatonin receptor 1B","other"
"4","ACE_AGTR2","ACE","angiotensin I converting enzyme","AGTR2","angiotensin II receptor, type 2","other"
"5","ACE_BDKRB2","ACE","angiotensin I converting enzyme","BDKRB2","bradykinin receptor B2","other"
"6","ADAM10_AXL","ADAM10","ADAM metallopeptidase domain 10","AXL","AXL receptor tyrosine kinase","other"
"7","ADAM10_EPHA3","ADAM10","ADAM metallopeptidase domain 10","EPHA3","EPH receptor A3","other"
"8","ADAM12_ITGA9","ADAM12","ADAM metallopeptidase domain 12","ITGA9","integrin, alpha 9","other"
"9","ADAM12_ITGB1","ADAM12","ADAM metallopeptidase domain 12","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"10","ADAM12_SDC4","ADAM12","ADAM metallopeptidase domain 12","SDC4","syndecan 4","other"
"11","ADAM15_ITGA5","ADAM15","ADAM metallopeptidase domain 15","ITGA5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)","other"
"12","ADAM15_ITGA9","ADAM15","ADAM metallopeptidase domain 15","ITGA9","integrin, alpha 9","other"
"13","ADAM15_ITGAV","ADAM15","ADAM metallopeptidase domain 15","ITGAV","integrin, alpha V","other"
"14","ADAM15_ITGB1","ADAM15","ADAM metallopeptidase domain 15","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"15","ADAM15_ITGB3","ADAM15","ADAM metallopeptidase domain 15","ITGB3","integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)","other"
"16","ADAM17_ERBB4","ADAM17","ADAM metallopeptidase domain 17","ERBB4","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4","other"
"17","ADAM17_ITGA5","ADAM17","ADAM metallopeptidase domain 17","ITGA5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)","other"
"18","ADAM17_ITGB1","ADAM17","ADAM metallopeptidase domain 17","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"19","ADAM17_NOTCH1","ADAM17","ADAM metallopeptidase domain 17","NOTCH1","notch 1","other"
"20","ADAM23_ITGA5","ADAM23","ADAM metallopeptidase domain 23","ITGA5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)","other"
