ligand,receptor,source,PMIDs
A2M,LRP1,"fantom5,HPMR,HPRD",10652313
AANAT,MTNR1A,"fantom5,HPMR",12943195
AANAT,MTNR1B,"fantom5,HPMR",12943195
ACE,AGTR2,"HPRD,fantom5",11459796
ACE,BDKRB2,"HPRD,fantom5",10748135
ACTR2,ADRB2,reactome,
ACTR2,LDLR,reactome,
ACTR2,LRP2,reactome,
ADAM10,AXL,"fantom5,HPRD",7822279
ADAM10,EPHA3,"fantom5,HPRD",16239146
ADAM12,ITGA9,"HPMR,fantom5",10944520
ADAM12,ITGB1,"HPMR,fantom5",10944520
ADAM12,SDC4,"fantom5,HPMR",12509413
ADAM15,ITGA5,"fantom5,HPMR","9,914,169,952"
ADAM15,ITGA9,"fantom5,HPMR",10944520
ADAM15,ITGAV,fantom5,9914169
ADAM15,ITGB1,"HPMR,fantom5","9,914,169,109"
ADAM15,ITGB3,"fantom5,HPMR",9516430
ADAM17,ERBB4,"fantom5,HPRD",15534001
ADAM17,ITGA5,"HPMR,fantom5",14970227
ADAM17,ITGB1,"HPMR,fantom5",14970227
ADAM17,NOTCH1,"HPRD,fantom5","10882063,96"
ADAM23,ITGA5,"fantom5,HPMR",10749942
ADAM23,ITGB3,"fantom5,HPMR",10749942
ADAM28,ITGA4,"fantom5,HPRD",11724793
ADAM2,CD9,"fantom5,HPRD",10518536
ADAM2,ITGA6,"fantom5,HPMR",9889149
ADAM2,ITGA9,fantom5,21060781
ADAM2,ITGB1,"HPMR,fantom5",9889149
ADAM2,ITGB7,fantom5,21060781
ADAM9,ITGA3,"HPRD,fantom5",15361064
ADAM9,ITGA6,"HPMR,fantom5,HPRD","10825303,15"
ADAM9,ITGAV,"HPRD,HPMR,fantom5","11162558,15"
ADAM9,ITGB1,"fantom5,HPMR",10825303
ADAM9,ITGB5,"HPMR,fantom5",11162558
ADCYAP1,ADCYAP1R1,"HPRD,reactome,fantom5,IUPHAR,HPMR","1,010,092,087,030,260,000,000,000,000,000,000,000,000,000,000"
ADCYAP1,ADRB2,reactome,
ADCYAP1,ADRB3,reactome,
ADCYAP1,GPR20,reactome,
ADCYAP1,GPR84,reactome,
ADCYAP1,PTH1R,reactome,
ADCYAP1,RAMP2,reactome,
ADCYAP1,RAMP3,reactome,
ADCYAP1,SCTR,"HPRD,fantom5",1335692
ADCYAP1,TSHR,reactome,
ADCYAP1,VIPR1,"reactome,HPRD,HPMR,IUPHAR,fantom5","1,189,768,199,280,180,000,000,000,000,000,000,000,000,000,000"
ADCYAP1,VIPR2,"HPRD,fantom5,IUPHAR","16,930,633,119,786,400,000,000,000,000,000,000,000"
ADIPOQ,ADIPOR1,"HPMR,fantom5",12802337
ADIPOQ,ADIPOR2,"HPRD,fantom5,HPMR",12802337
ADM2,ADCYAP1R1,reactome,
ADM2,ADRB2,reactome,
ADM2,ADRB3,reactome,
ADM2,CALCR,"fantom5,IUPHAR",15692146
ADM2,CALCRL,"fantom5,HPMR",14615490
ADM2,GPR20,reactome,
ADM2,GPR84,reactome,
ADM2,PTH1R,reactome,
ADM2,RAMP1,"HPMR,fantom5",12684503
ADM2,RAMP2,reactome,
ADM2,RAMP3,reactome,
ADM2,TSHR,reactome,
ADM2,VIPR1,reactome,
ADM,ADCYAP1R1,reactome,
ADM,ADRB2,reactome,
ADM,ADRB3,reactome,
ADM,CALCR,"IUPHAR,fantom5","15692146,13"
ADM,CALCRL,"HPMR,fantom5,HPRD",9620797
ADM,GPR182,"fantom5,HPMR",7592696
ADM,GPR20,reactome,
ADM,GPR84,reactome,
ADM,MRGPRX2,"HPMR,IUPHAR,fantom5","16111673,16"
ADM,PTH1R,reactome,
ADM,RAMP2,"HPMR,fantom5,reactome",9620797
ADM,RAMP3,reactome,
ADM,TSHR,reactome,
ADM,VIPR1,reactome,
AGRN,ATP1A3,fantom5,16630822
AGRN,ITGB1,reactome,
AGRN,LRP1,reactome,
AGRN,LRP2,reactome,
AGRN,LRP4,"reactome,fantom5",18848351
AGRN,MUSK,"fantom5,HPMR,reactome",8653787
AGRP,MC3R,"HPRD,HPMR,IUPHAR,fantom5","93,119,209,819,197,900,000,000,000,000"
AGRP,MC4R,"HPMR,fantom5,IUPHAR,HPRD","93,119,209,299,416,100,000,000,000,000,000,000,000"
AGRP,MC5R,"HPRD,fantom5,IUPHAR",9892020
AGRP,SDC3,fantom5,11461706
AGT,ADRA2A,reactome,
AGT,AGTR1,"HPMR,IUPHAR,fantom5,HPRD","109,930,801,593,009,000,000,000,000,000,000,000,000,000,000,000"
AGT,AGTR2,"HPRD,fantom5,IUPHAR,HPMR","8,315,512,818,559,910,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
AGT,GRM7,reactome,
AGT,LRP2,"fantom5,HPMR",15467006
AGT,MAS1,"fantom5,HPMR,HPRD",12829792
AGT,MTNR1A,reactome,
AHSG,INSR,"HPRD,fantom5",7906861
ALB,LRP2,"HPRD,fantom5","11158855,89"
ALOX5AP,ALOX5,"IUPHAR,fantom5,HPRD",
AMELX,LAMP1,fantom5,20382373
AMELY,LAMP1,fantom5,20382373
AMH,ACVR1,fantom5,14656470
AMH,AMHR2,"HPMR,fantom5,uniprot,HPRD","7,997,230,889"
AMH,EGFR,"HPRD,fantom5",8596488
ANGPT1,ITGA5,"HPRD,fantom5",15781448
ANGPT1,ITGB1,fantom5,
ANGPT1,TEK,"HPRD,HPMR,IUPHAR,fantom5","898,022,397,237,098,000,000,000,000,000,000,000"
ANGPT1,TIE1,"HPMR,fantom5",11172728
ANGPT2,TEK,"HPMR,fantom5,HPRD","9,204,896,972"
ANGPT2,TIE1,fantom5,
ANGPT4,TEK,"HPRD,fantom5,IUPHAR",10051567
ANGPT4,TIE1,fantom5,
ANGPTL1,TEK,"fantom5,HPRD",10051567
ANGPTL2,TIE1,fantom5,
ANGPTL3,ITGA5,"HPRD,fantom5",11877390
ANGPTL3,ITGAV,"HPRD,fantom5",11877390
ANGPTL3,ITGB3,"HPRD,fantom5",11877390
ANGPTL4,TIE1,fantom5,
ANOS1,FGFR1,fantom5,19696444
ANOS1,SDC2,"HPRD,fantom5",
ANXA1,ADRA2A,reactome,
ANXA1,DYSF,"HPRD,fantom5",14506282
ANXA1,EGFR,"fantom5,HPRD",15581623
ANXA1,FPR1,"HPRD,IUPHAR,fantom5,HPMR","10882119,13"
ANXA1,FPR2,"IUPHAR,fantom5","12,368,905,108,821,100,000,000,000,000,000"
ANXA1,FPR3,"IUPHAR,fantom5",15187149
ANXA1,GRM7,reactome,
ANXA1,MTNR1A,reactome,
APLN,ADRA2A,reactome,
APLN,APLNR,"HPMR,fantom5,IUPHAR,HPRD","1,061,710,397,927,980,000,000,000,000,000,000,000,000,000,000,000,000,000"
APLN,GRM7,reactome,"1,061,710,397,927,980,000,000,000,000,000,000,000,000,000,000,000,000,000"
APLN,MTNR1A,reactome,
APOA1,LDLR,reactome,
APOA1,LRP1,reactome,
APOA1,LRP2,reactome,
APOA2,LDLR,reactome,
APOA2,LRP1,reactome,
APOA2,LRP2,reactome,
APOA4,LDLR,reactome,
APOA4,LRP1,reactome,
APOA4,LRP2,reactome,
APOB,ADRB2,reactome,
APOB,CALCR,fantom5,
APOB,ITGAM,fantom5,
APOB,ITGB2,fantom5,
APOB,LDLR,"fantom5,HPMR,HPRD,reactome","11327878,12"
APOB,LRP1,reactome,
APOB,LRP2,"reactome,HPRD,fantom5",10330424
APOB,LRP6,fantom5,
APOB,LRP8,fantom5,
APOB,LSR,fantom5,7615497
APOB,MTTP,reactome,
APOB,OLR1,fantom5,9763524
APOB,TLR4,reactome,
APOB,TLR6,reactome,
APOB,VLDLR,reactome,
APOC1,VLDLR,reactome,
APOC2,LDLR,reactome,
APOC2,LRP1,reactome,
APOC2,LRP2,reactome,
APOC3,LDLR,reactome,
APOC3,LRP1,reactome,
APOC3,LRP2,reactome,
APOC3,SDC2,fantom5,
APOC3,TLR2,fantom5,
APOC4,VLDLR,reactome,
APOD,LEPR,"fantom5,HPRD",11344130
APOE,CHRNA4,fantom5,
APOE,LDLR,"HPMR,fantom5,reactome,HPRD","11327878,12"
APOE,LRP1,"HPRD,reactome,fantom5",11421580
APOE,LRP2,"fantom5,HPRD,reactome",11421580
APOE,LRP5,"fantom5,HPMR",9832610)
APOE,LRP8,"HPRD,HPMR,fantom5","129,501,671,216,762,000,000,000"
APOE,SCARB1,"HPRD,fantom5",12138091
APOE,SORL1,"HPMR,fantom5",11294867
APOE,VLDLR,"HPRD,HPMR,fantom5","12870663,12"
APP,ADRA2A,reactome,
APP,CAV1,"fantom5,HPRD",9553108
APP,CD74,fantom5,19849849
APP,FPR2,"fantom5,IUPHAR","11316806,11"
APP,GPC1,"HPRD,fantom5",15084524
APP,GRM7,reactome,
APP,LRP1,"fantom5,HPRD","12212791,75"
APP,MTNR1A,reactome,
APP,NCSTN,"fantom5,HPRD",10993067
APP,NGFR,fantom5,
APP,SLC45A3,fantom5,
APP,TNFRSF21,fantom5,19225519
AREG,EGFR,"HPMR,cellsignal.com,IUPHAR,fantom5,HPRD","2,466,334,101"
AREG,ERBB3,fantom5,8702723
ARF1,CHRM3,"fantom5,HPRD",12799371
ARF1,INSR,"HPRD,fantom5",9197239
ARF1,PLD2,"HPRD,IUPHAR,fantom5","12519790,11"
ARPC5,ADRB2,reactome,
ARPC5,LDLR,reactome,
ARPC5,LRP2,reactome,
ARTN,GFRA1,"reactome,fantom5",9883723
ARTN,GFRA2,reactome,
ARTN,GFRA3,"HPRD,reactome,uniprot,fantom5,HPMR",9883723
ARTN,RET,"reactome,fantom5,HPMR",9883723
ASIP,ATRN,"fantom5,HPMR",11137996
ASIP,F11R,"fantom5,HPRD",11447115
ASIP,MC1R,"HPRD,fantom5,HPMR","12851328,91"
ASIP,MC2R,"HPRD,fantom5",9058374
ASIP,MC3R,"HPRD,fantom5",9058374
ASIP,MC4R,"fantom5,HPRD",9058374
ASIP,MC5R,"fantom5,HPRD",9058374
ASIP,MGRN1,"HPMR,fantom5",
AVP,ADCYAP1R1,reactome,
AVP,ADRB2,reactome,
AVP,ADRB3,reactome,
AVP,AVPR1A,"HPRD,HPMR,fantom5,IUPHAR","1,560,825,810,636,980,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
AVP,AVPR1B,"HPRD,HPMR,fantom5,IUPHAR","7,929,452,988,407,410,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
AVP,AVPR2,"HPMR,IUPHAR,fantom5,HPRD","118,579,259,884,074,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
AVP,GPR20,reactome,
AVP,GPR84,reactome,
AVP,LDLR,reactome,
AVP,LRP2,reactome,
AVP,OXTR,"IUPHAR,fantom5,HPRD","12,446,593,150,841,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
AVP,PTH1R,reactome,
AVP,RAMP2,reactome,
AVP,RAMP3,reactome,
AVP,TSHR,reactome,
AVP,VIPR1,reactome,
AZGP1,ITGAV,"HPRD,fantom5",9813179
B2M,CD1A,"HPRD,fantom5",12833155
B2M,CD1B,"fantom5,HPRD",12118248
B2M,CD247,fantom5,
B2M,CD3D,fantom5,
B2M,CD3G,fantom5,
B2M,HFE,"fantom5,HPRD",10791995
B2M,HLA-F,"HPRD,fantom5",11169396
B2M,KIR2DL1,fantom5,
B2M,KIR2DL3,fantom5,
B2M,KIR3DL1,fantom5,
B2M,KLRC1,"reactome,fantom5",
B2M,KLRC2,reactome,
B2M,KLRD1,"reactome,fantom5",
B2M,LILRB1,"fantom5,HPRD",12897781
B2M,LILRB2,fantom5,
B2M,TFRC,fantom5,
BCAN,EGFR,fantom5,
BCAN,NRCAM,fantom5,
BDNF,DDR1,fantom5,
BDNF,DRD4,fantom5,
BDNF,NGFR,"fantom5,IUPHAR",
BDNF,NGFRAP1,"HPMR,fantom5",7644540
BDNF,NTRK2,"HPRD,HPMR,uniprot,fantom5","7,644,540,931"
BDNF,SORT1,"fantom5,HPRD",15987945
BGN,LY96,fantom5,
BGN,TLR1,fantom5,
BGN,TLR2,fantom5,16025156
BGN,TLR4,fantom5,16025156
BMP10,ACVR2A,"HPMR,fantom5",16049014
BMP10,ACVRL1,"HPMR,fantom5",17068149
BMP10,BMPR1A,"uniprot,fantom5,HPMR",16049014
BMP10,BMPR1B,uniprot,16049014
BMP10,BMPR2,"fantom5,uniprot,HPMR",16049014
BMP10,ENG,fantom5,21737454
BMP15,BMPR1A,uniprot,2419820
BMP15,BMPR1B,"HPRD,fantom5,uniprot,HPMR","12044914,12"
BMP15,BMPR2,"HPMR,fantom5,uniprot",12419820
BMP2,ACVR1,"HPRD,fantom5",8006002
BMP2,ACVR2B,"HPRD,fantom5",15064755
BMP2,BMPR1A,"HPRD,uniprot,fantom5,HPMR","1,270,018,011,263,660,000,000,000,000,000,000,000,000"
BMP2,BMPR1B,"uniprot,fantom5,HPMR,HPRD","127,001,807,811,286,000,000,000,000,000"
BMP2,BMPR2,"HPRD,fantom5,uniprot,HPMR","11263668,11"
BMP2,ENG,"HPRD,fantom5",9872992
BMP2,HFE2,fantom5,18287331
BMP4,BMPR1A,"HPRD,uniprot,fantom5,HPMR","80,060,021,124,121,500,000,000,000,000"
BMP4,BMPR1B,"HPRD,HPMR,uniprot,fantom5","80,060,021,128,202,400,000,000,000,000"
BMP4,BMPR2,"HPRD,HPMR,uniprot,fantom5","767,324,376,444,688,000,000"
BMP4,HFE2,fantom5,
BMP5,BMPR1A,"fantom5,uniprot,HPRD",11580864
BMP5,BMPR1B,uniprot,
BMP5,BMPR2,uniprot,
BMP5,HFE2,fantom5,
BMP6,ACVR1,"fantom5,HPMR",12297674
BMP6,ACVR2A,"fantom5,HPRD",10504300
BMP6,BMPR1A,"uniprot,fantom5,HPMR,HPRD","122,976,741,050,430,000,000,000"
