interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation,interaction_name_2,ligand_symbol,receptor_symbol,ligand_ensembl,receptor_ensembl,interaction_symbol,interaction_ensembl
TGFB1_TGFBR1_TGFBR2,TGFb,TGFB1,TGFbR1_R2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,KEGG: hsa04350,Secreted Signaling,TGFB1 - (TGFBR1+TGFBR2),TGFB1,TGFBR1&TGFBR2,ENSG00000105329,ENSG00000106799&ENSG00000163513,TGFB1^TGFBR1&TGFBR2,ENSG00000105329^ENSG00000106799&ENSG00000163513
TGFB2_TGFBR1_TGFBR2,TGFb,TGFB2,TGFbR1_R2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,KEGG: hsa04350,Secreted Signaling,TGFB2 - (TGFBR1+TGFBR2),TGFB2,TGFBR1&TGFBR2,ENSG00000092969,ENSG00000106799&ENSG00000163513,TGFB2^TGFBR1&TGFBR2,ENSG00000092969^ENSG00000106799&ENSG00000163513
TGFB3_TGFBR1_TGFBR2,TGFb,TGFB3,TGFbR1_R2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,KEGG: hsa04350,Secreted Signaling,TGFB3 - (TGFBR1+TGFBR2),TGFB3,TGFBR1&TGFBR2,ENSG00000119699,ENSG00000106799&ENSG00000163513,TGFB3^TGFBR1&TGFBR2,ENSG00000119699^ENSG00000106799&ENSG00000163513
TGFB1_ACVR1B_TGFBR2,TGFb,TGFB1,ACVR1B_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,TGFB1 - (ACVR1B+TGFBR2),TGFB1,ACVR1B&TGFBR2,ENSG00000105329,ENSG00000135503&ENSG00000163513,TGFB1^ACVR1B&TGFBR2,ENSG00000105329^ENSG00000135503&ENSG00000163513
TGFB1_ACVR1C_TGFBR2,TGFb,TGFB1,ACVR1C_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,TGFB1 - (ACVR1C+TGFBR2),TGFB1,ACVR1C&TGFBR2,ENSG00000105329,ENSG00000123612&ENSG00000163513,TGFB1^ACVR1C&TGFBR2,ENSG00000105329^ENSG00000123612&ENSG00000163513
TGFB2_ACVR1B_TGFBR2,TGFb,TGFB2,ACVR1B_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,TGFB2 - (ACVR1B+TGFBR2),TGFB2,ACVR1B&TGFBR2,ENSG00000092969,ENSG00000135503&ENSG00000163513,TGFB2^ACVR1B&TGFBR2,ENSG00000092969^ENSG00000135503&ENSG00000163513
TGFB2_ACVR1C_TGFBR2,TGFb,TGFB2,ACVR1C_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,TGFB2 - (ACVR1C+TGFBR2),TGFB2,ACVR1C&TGFBR2,ENSG00000092969,ENSG00000123612&ENSG00000163513,TGFB2^ACVR1C&TGFBR2,ENSG00000092969^ENSG00000123612&ENSG00000163513
TGFB3_ACVR1B_TGFBR2,TGFb,TGFB3,ACVR1B_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,TGFB3 - (ACVR1B+TGFBR2),TGFB3,ACVR1B&TGFBR2,ENSG00000119699,ENSG00000135503&ENSG00000163513,TGFB3^ACVR1B&TGFBR2,ENSG00000119699^ENSG00000135503&ENSG00000163513
TGFB3_ACVR1C_TGFBR2,TGFb,TGFB3,ACVR1C_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,TGFB3 - (ACVR1C+TGFBR2),TGFB3,ACVR1C&TGFBR2,ENSG00000119699,ENSG00000123612&ENSG00000163513,TGFB3^ACVR1C&TGFBR2,ENSG00000119699^ENSG00000123612&ENSG00000163513
TGFB1_ACVR1_TGFBR1,TGFb,TGFB1,ACVR1_TGFbR,,,,,PMID: 29376829,Secreted Signaling,TGFB1 - (ACVR1+TGFBR1),TGFB1,ACVR1&TGFBR1&TGFBR2,ENSG00000105329,ENSG00000115170&ENSG00000106799&ENSG00000163513,TGFB1^ACVR1&TGFBR1&TGFBR2,ENSG00000105329^ENSG00000115170&ENSG00000106799&ENSG00000163513
