interaction_name ligand_type interaction_type lig_contributor lig_contributor_group lig_contributor_coeff target_subunit target_subunit_group target_subunit_coeff
1 VIP_VIPR1 Neuropeptide ligand-receptor VIP 1 1  1 1
2 VIP_VIPR2 Neuropeptide ligand-receptor VIP 1 1  1 1
3 NPY_NPY1R Neuropeptide ligand-receptor NPY 1 1  1 1
4 NPY_NPY2R Neuropeptide ligand-receptor NPY 1 1  1 1
5 NPY_NPY5R Neuropeptide ligand-receptor NPY 1 1  1 1
6 SST_SSTR1 Neuropeptide ligand-receptor SST 1 1  1 1
7 SST_SSTR2 Neuropeptide ligand-receptor SST 1 1  1 1
8 SST_SSTR3 Neuropeptide ligand-receptor SST 1 1  1 1
9 SST_SSTR4 Neuropeptide ligand-receptor SST 1 1  1 1
10 PENK_OPRD1 Neuropeptide ligand-receptor PENK 1 1  1 1
11 PENK_OPRM1 Neuropeptide ligand-receptor PENK 1 1  1 1
12 TAC3_TACR3 Neuropeptide ligand-receptor TAC3 1 1  1 1
13 CCK_CCKBR Neuropeptide ligand-receptor CCK 1 1  1 1
14 CRH_CRHR1 Neuropeptide ligand-receptor CRH 1 1  1 1
15 CRH_CRHR2 Neuropeptide ligand-receptor CRH 1 1  1 1
16 TAC1_TACR1 Neuropeptide ligand-receptor TAC1 1 1  1 1
17 PDYN_OPRD1 Neuropeptide ligand-receptor PDYN 1 1  1 1
18 PDYN_OPRK1 Neuropeptide ligand-receptor PDYN 1 1  1 1
19 PDYN_OPRM1 Neuropeptide ligand-receptor PDYN 1 1  1 1
20 CORT_SSTR1 Neuropeptide ligand-receptor CORT 1 1  1 1
21 CORT_SSTR2 Neuropeptide ligand-receptor CORT 1 1  1 1
22 CORT_SSTR3 Neuropeptide ligand-receptor CORT 1 1  1 1
23 CORT_SSTR4 Neuropeptide ligand-receptor CORT 1 1  1 1
24 PTHLH_PTH1R Neuropeptide ligand-receptor PTHLH 1 1  1 1
25 PNOC_OPRL1 Neuropeptide ligand-receptor PNOC 1 1  1 1
26 ADCYAP1_ADCYAP1R1 Neuropeptide ligand-receptor ADCYAP1 1 1  1 1
27 ADCYAP1_VIPR1 Neuropeptide ligand-receptor ADCYAP1 1 1  1 1
28 ADCYAP1_VIPR2 Neuropeptide ligand-receptor ADCYAP1 1 1  1 1
29 TRH_TRHR Neuropeptide ligand-receptor TRH 1 1  1 1
30 GRP_GRPR Neuropeptide ligand-receptor GRP 1 1  1 1
31 NMB_NMBR Neuropeptide ligand-receptor NMB 1 1  1 1
32 NTS_NTSR1 Neuropeptide ligand-receptor NTS 1 1  1 1
33 NTS_NTSR2 Neuropeptide ligand-receptor NTS 1 1  1 1
34 RLN1_RXFP1 Neuropeptide ligand-receptor RLN1 1 1  1 1
35 RLN1_RXFP2 Neuropeptide ligand-receptor RLN1 1 1  1 1
36 RLN1_RXFP3 Neuropeptide ligand-receptor RLN1 1 1  1 1
37 Glu_GRIN1 Neurotransmitter ligand-receptor GLS-SLC17A6-SLC17A7-SLC17A8 1-2-2-2 1-1  1 1
38 Glu_GRIN2A Neurotransmitter ligand-receptor GLS-SLC17A6-SLC17A7-SLC17A8 1-2-2-2 1-1  1 1
39 Glu_GRIN2B Neurotransmitter ligand-receptor GLS-SLC17A6-SLC17A7-SLC17A8 1-2-2-2 1-1  1 1
40 Glu_GRIN2C Neurotransmitter ligand-receptor GLS-SLC17A6-SLC17A7-SLC17A8 1-2-2-2 1-1  1 1
41 Glu_GRIN2D Neurotransmitter ligand-receptor GLS-SLC17A6-SLC17A7-SLC17A8 1-2-2-2 1-1  1 1
42 Glu_GRIN3A Neurotransmitter ligand-receptor GLS-SLC17A6-SLC17A7-SLC17A8 1-2-2-2 1-1  1 1
43 Glu_GRIN3B Neurotransmitter ligand-receptor GLS-SLC17A6-SLC17A7-SLC17A8 1-2-2-2 1-1  1 1
44 Glu_GRIA1 Neurotransmitter ligand-receptor GLS-SLC17A6-SLC17A7-SLC17A8 1-2-2-2 1-1  1 1
45 Glu_GRIA2 Neurotransmitter ligand-receptor GLS-SLC17A6-SLC17A7-SLC17A8 1-2-2-2 1-1  1 1
46 Glu_GRIA3 Neurotransmitter ligand-receptor GLS-SLC17A6-SLC17A7-SLC17A8 1-2-2-2 1-1  1 1
47 Glu_GRIA4 Neurotransmitter ligand-receptor GLS-SLC17A6-SLC17A7-SLC17A8 1-2-2-2 1-1  1 1
48 Glu_GRIK1 Neurotransmitter ligand-receptor GLS-SLC17A6-SLC17A7-SLC17A8 1-2-2-2 1-1  1 1
49 Glu_GRIK2 Neurotransmitter ligand-receptor GLS-SLC17A6-SLC17A7-SLC17A8 1-2-2-2 1-1  1 1
