source,target,source_genesymbol,target_genesymbol,resource
O00548,P46531,Dll1,Notch1,mouseconsensus
O00548,Q04721,Dll1,Notch2,mouseconsensus
O00548,Q99466,Dll1,Notch4,mouseconsensus
O00548,Q9UM47,Dll1,Notch3,mouseconsensus
O14511,COMPLEX:P04626_P21860,Nrg2,Erbb2_Erbb3,mouseconsensus
O14511,COMPLEX:P04626_Q15303,Nrg2,Erbb2_Erbb4,mouseconsensus
O14672,O95858,Adam10,Tspan15,mouseconsensus
O14672,O95859,Adam10,Tspan12,mouseconsensus
O14672,P08581,Adam10,Met,mouseconsensus
O14672,P08887,Adam10,Il6ra,mouseconsensus
O14672,P16070,Adam10,Cd44,mouseconsensus
O14672,P29320,Adam10,Epha3,mouseconsensus
O14672,P30530,Adam10,Axl,mouseconsensus
O14672,P46531,Adam10,Notch1,mouseconsensus
O14672,Q04721,Adam10,Notch2,mouseconsensus
O14672,Q92823,Adam10,Nrcam,mouseconsensus
O14672,Q96FV3,Adam10,Tspan17,mouseconsensus
O14672,Q9H1Z9,Adam10,Tspan10,mouseconsensus
O14672,Q9NZC2,Adam10,Trem2,mouseconsensus
O14788,O00300,Tnfsf11,Tnfrsf11b,mouseconsensus
O14788,Q9BXB1,Tnfsf11,Lgr4,mouseconsensus
O14788,Q9Y6Q6,Tnfsf11,Tnfrsf11a,mouseconsensus
O14944,COMPLEX:P00533_P04626,Ereg,Egfr_Erbb2,mouseconsensus
O14944,COMPLEX:P04626_Q15303,Ereg,Erbb2_Erbb4,mouseconsensus
O14944,P21860,Ereg,Erbb3,mouseconsensus
O43184,P05556,Adam12,Itgb1,mouseconsensus
O43184,Q13797,Adam12,Itga9,mouseconsensus
O43508,P28908,Tnfsf12,Tnfrsf8,mouseconsensus
O43508,Q86VB7,Tnfsf12,Cd163,mouseconsensus
O43508,Q93038,Tnfsf12,Tnfrsf25,mouseconsensus
O43508,Q9NP84,Tnfsf12,Tnfrsf12a,mouseconsensus
O43557,P36941,Tnfsf14,Ltbr,mouseconsensus
