interaction_name	ligand_type	interaction_type	lig_contributor	lig_contributor_group	lig_contributor_coeff	target_subunit	target_subunit_group	target_subunit_coeff
Vip_Vipr1	Neuropeptide	ligand-receptor	Vip	1	1		1	1.0
Vip_Vipr2	Neuropeptide	ligand-receptor	Vip	1	1		1	1.0
Npy_Npy1r	Neuropeptide	ligand-receptor	Npy	1	1		1	1.0
Npy_Npy2r	Neuropeptide	ligand-receptor	Npy	1	1		1	1.0
Npy_Npy5r	Neuropeptide	ligand-receptor	Npy	1	1		1	1.0
Sst_Sstr1	Neuropeptide	ligand-receptor	Sst	1	1		1	1.0
Sst_Sstr2	Neuropeptide	ligand-receptor	Sst	1	1		1	1.0
Sst_Sstr3	Neuropeptide	ligand-receptor	Sst	1	1		1	1.0
Sst_Sstr4	Neuropeptide	ligand-receptor	Sst	1	1		1	1.0
Penk_Oprd1	Neuropeptide	ligand-receptor	Penk	1	1		1	1.0
Penk_Oprm1	Neuropeptide	ligand-receptor	Penk	1	1		1	1.0
Tac2_Tacr3	Neuropeptide	ligand-receptor	Tac2	1	1		1	1.0
Cck_Cckbr	Neuropeptide	ligand-receptor	Cck	1	1		1	1.0
Crh_Crhr1	Neuropeptide	ligand-receptor	Crh	1	1		1	1.0
Crh_Crhr2	Neuropeptide	ligand-receptor	Crh	1	1		1	1.0
Tac1_Tacr1	Neuropeptide	ligand-receptor	Tac1	1	1		1	1.0
Pdyn_Oprd1	Neuropeptide	ligand-receptor	Pdyn	1	1		1	1.0
Pdyn_Oprk1	Neuropeptide	ligand-receptor	Pdyn	1	1		1	1.0
Pdyn_Oprm1	Neuropeptide	ligand-receptor	Pdyn	1	1		1	1.0
Cort_Sstr1	Neuropeptide	ligand-receptor	Cort	1	1		1	1.0
Cort_Sstr2	Neuropeptide	ligand-receptor	Cort	1	1		1	1.0
Cort_Sstr3	Neuropeptide	ligand-receptor	Cort	1	1		1	1.0
Cort_Sstr4	Neuropeptide	ligand-receptor	Cort	1	1		1	1.0
